Constituency,County,URL
Baringo Central,Baringo,https://forms.iebc.or.ke/form/formB/0301590000000/uploaded/1_0301590000000_34_B_20220810_221346.pdf
Baringo North,Baringo,https://forms.iebc.or.ke/form/formB/0301580000000/uploaded/1_0301580000000_34_B_20220812_112017.pdf
Baringo South,Baringo,https://forms.iebc.or.ke/form/formB/0301600000000/uploaded/1_0301600000000_34_B_20220811_172724.pdf
Eldama Ravine,Baringo,https://forms.iebc.or.ke/form/formB/0301620000000/uploaded/1_0301620000000_34_B_20220811_134943.pdf
Mogotio,Baringo,https://forms.iebc.or.ke/form/formB/0301610000000/uploaded/1_0301610000000_34_B_20220811_171215.pdf
Tiaty,Baringo,https://forms.iebc.or.ke/form/formB/0301570000000/uploaded/1_0301570000000_34_B_20220811_222412.pdf
Bomet Central,Bomet,https://forms.iebc.or.ke/form/formB/0361970000000/uploaded/1_0361970000000_34_B_20220811_072415.pdf
Bomet East,Bomet,https://forms.iebc.or.ke/form/formB/0361960000000/uploaded/1_0361960000000_34_B_20220811_112802.pdf
Chepalungu,Bomet,https://forms.iebc.or.ke/form/formB/0361950000000/uploaded/1_0361950000000_34_B_20220812_105924.pdf
Konoin,Bomet,https://forms.iebc.or.ke/form/formB/0361980000000/uploaded/1_0361980000000_34_B_20220811_120711.pdf
Sotik,Bomet,https://forms.iebc.or.ke/form/formB/0361940000000/uploaded/1_0361940000000_34_B_20220811_163334.pdf
Bumula,Bungoma,https://forms.iebc.or.ke/form/formB/0392190000000/uploaded/1_0392190000000_34_B_20220811_104549.pdf
Kabuchai,Bungoma,https://forms.iebc.or.ke/form/formB/0392180000000/uploaded/1_0392180000000_34_B_20220811_124431.pdf
Kanduyi,Bungoma,https://forms.iebc.or.ke/form/formB/0392200000000/uploaded/1_0392200000000_34_B_20220813_111307.pdf
Kimilili,Bungoma,https://forms.iebc.or.ke/form/formB/0392230000000/uploaded/1_0392230000000_34_B_20220811_131624.pdf
Mt. Elgon,Bungoma,https://forms.iebc.or.ke/form/formB/0392160000000/uploaded/1_0392160000000_34_B_20220811_212925.pdf
Sirisia,Bungoma,https://forms.iebc.or.ke/form/formB/0392170000000/uploaded/1_0392170000000_34_B_20220813_113505.pdf
Tongaren,Bungoma,https://forms.iebc.or.ke/form/formB/0392240000000/uploaded/1_0392240000000_34_B_20220814_114532.pdf
Webuye East,Bungoma,https://forms.iebc.or.ke/form/formB/0392210000000/uploaded/1_0392210000000_34_B_20220811_004608.pdf
